t_index term df
1026 biarritz 3
1027 bias 8
1028 bibl 4
1029 biblic 1
1030 bicker 3
1031 bicycl 5
1032 bid 50
1033 bidanora 1
1034 big 76
1035 bigger 8
1036 biggest 39
1037 bigot 1
1038 bihari 10
1039 bilater 8
1040 bilingu 1
1041 bill 68
1042 billboard 2
1043 billet 1
1044 billi 4
1045 billion 54
1046 billionair 9
1047 billow 13
1048 biltera 1
1049 bimal 2
1050 bin 87
1051 bind 5
1052 bindra 3
1053 bingaman 2
1054 bingo 1
1055 binocular 5
1056 biogeneticist 1
1057 biograph 3
1058 biographi 4
1059 biolog 4
1060 bion 1
1061 bipartisan 2
1062 bipartisanship 1
1063 bird 3
1064 birger 1
1065 birth 9
1066 birthday 6
1067 birthmark 1
1068 birthplac 1
1069 biscuit 3
1070 bishop 2
1071 bit 46
1072 bite 2
1073 bitka 1
1074 bitten 1
1075 bitter 19
1076 bitterli 10
1077 bittersweet 2
1078 bizarr 10
1079 bjorn 1
1080 black 57
1081 blacken 4
1082 blackmail 5
1083 blackout 4
1084 blade 1
1085 blair 15
1086 blakemor 1
1087 blame 56
1088 blanchard 1
1089 blanco 7
1090 bland 1
1091 blanda 1
1092 blank 2
1093 blanket 35
1094 blankli 2
1095 blare 1
1096 blast 109
1097 blatant 2
1098 blaze 6
1099 bleach 1
1100 bleacher 1
1101 bleak 1
1102 bled 1
1103 bleed 2
1104 blemish 1
1105 blend 4
1106 bless 9
1107 blew 41
1108 blind 8
1109 blindli 5
1110 blink 3
1111 blister 2
1112 blitz 1
1113 blitzer 1
1114 blizzard 5
1115 bloat 4
1116 bloc 7
1117 block 83
1118 blockad 15
1119 blocker 1
1120 blocki 1
1121 blokosso 1
1122 blond 4
1123 blood 31
1124 bloodbath 2
1125 bloodi 8
1126 bloodiest 1
1127 bloodless 2
1128 bloodsh 9
1129 bloodstain 1
1130 bloomberg 1
1131 bloomer 1
1132 blous 1
1133 blow 25
1134 blown 11
1135 blowtorch 1
1136 blue 43
1137 blueprint 11
1138 bluf 5
1139 blunk 1
1140 blunt 2
1141 bluntli 2
1142 blur 2
1143 blurb 1
1144 blusteri 1
1145 board 62
1146 boarder 5
1147 boardwalk 1
1148 boast 3
1149 boat 117
1150 boater 1
1151 boatmen 1
1152 bob 24
1153 bobbi 6
1154 bobic 1
1155 bodi 188
1156 bodien 1
1157 bodin 9
1158 bodon 1
1159 bodyguard 10
1160 boe 2
1161 bog 2
1162 boga 1
1163 bogg 1
1164 bogu 4
1165 bohdan 2
1166 boil 1
1167 boister 1
1168 bojic 1
1169 bold 3
1170 boldli 1
1171 bolivia 1
1172 bolona 2
1173 bolster 12
1174 bolt 1
1175 bomb 255
1176 bombard 2
1177 bombay 5
1178 bomber 57
1179 bombet 2
1180 bombey 1
1181 bombmak 4
1182 bombshel 1
1183 bond 17
1184 bone 52
1185 bonecardi 1
1186 bonfir 3
1187 bonilla 1
1188 bonni 1
1189 bono 1
1190 bonu 1
1191 boo 3
1192 book 26
1193 bookend 1
1194 boom 7
1195 boost 14
1196 booster 1
1197 boot 4
1198 booth 8
1199 bor 1
1200 border 53
1201 bore 3
1202 borg 1
1203 bori 7
1204 borisav 1
1205 borislav 3
1206 borisov 1
1207 borivoj 1
1208 bork 1
1209 borka 1
1210 born 38
